"Avg_mode_power","Star Rating Index"
14.83,"6.148231374847027"
79.65,"5.710475336657595"
78.97,"5.307388036506728"
83,"4.5775213770665735"
260.42,"2.5444435864160626"
72,"5.32726460078863"
28,"6.04521473860549"
117,"4.757876673363782"
308,"1.037273982354708"
308,"1.037273982354708"
308,"1.037273982354708"
440,"1.7603613660043103"
440,"1.7603613660043103"
440,"1.7603613660043103"
396,"2.232835580140418"
396,"2.232835580140418"
396,"2.232835580140418"
297,"1.1992218706343978"
297,"1.1992218706343978"
297,"1.1992218706343978"
132,"3.425384561563088"
132,"3.425384561563088"
132,"3.425384561563088"
148,"2.9191614225515905"
148,"2.9191614225515905"
148,"2.9191614225515905"
192,"5.464657483755054"
192,"5.464657483755054"
192,"5.464657483755054"
165,"5.055781055309371"
165,"5.055781055309371"
165,"5.055781055309371"
108,"3.515845662977594"
108,"3.515845662977594"
108,"3.515845662977594"
198,"4.238721562798084"
198,"4.238721562798084"
198,"4.238721562798084"
69,"4.281582860753533"
69,"4.281582860753533"
69,"4.281582860753533"
91,"4.2768165620335985"
91,"4.2768165620335985"
91,"4.2768165620335985"
84,"5.431163311709696"
84,"5.431163311709696"
84,"5.431163311709696"
94,"5.385681673359005"
94,"5.385681673359005"
94,"5.385681673359005"
116,"5.397136331235652"
116,"5.397136331235652"
116,"5.397136331235652"
143,"5.691381746451486"
143,"5.691381746451486"
143,"5.691381746451486"
93.528,"6.130843375683567"
77.2,"5.673122717009529"
105.75,"5.861651020207671"
196.41,"4.301340601461562"
46.6,"5.667604564713657"
132.4,"4.778103074039818"
104,"5.885695095406638"
412,"2.0153655228214453"
93.528,"6.130843375683567"
203,"2.898288906429012"
203,"2.898288906429012"
203,"2.898288906429012"
91,"4.2768165620335985"
91,"4.2768165620335985"
91,"4.2768165620335985"
129.96,"4.819665341474452"
26,"5.050329620054731"
76.37,"6.012873325950687"
58,"4.640183608128661"
105.8,"4.025599758439423"
134.4,"4.016518199742423"
106,"4.418326982915042"
125,"5.066881362898524"
200,"5.077950594484448"
200,"5.077950594484448"
258,"4.145297952180938"
258,"4.145297952180938"
258,"4.145297952180938"
99.75,"6.194424149067254"
70,"4.21183172320354"
70,"4.21183172320354"
70,"4.21183172320354"
76,"4.753473125119566"
76,"4.753473125119566"
80.2,"5.293361671010193"
80.2,"5.293361671010193"
80.2,"5.293361671010193"
80.2,"5.293361671010193"
80.2,"5.293361671010193"
80.2,"5.293361671010193"
128,"2.7593980174024337"
91.4,"5.854791829048124"
91.4,"5.854791829048124"
91.4,"5.854791829048124"
91.4,"5.854791829048124"
91.4,"5.854791829048124"
91.4,"5.854791829048124"
91.4,"5.854791829048124"
69,"4.281582860753533"
91,"4.2768165620335985"
201.04,"4.091803171836315"
84,"5.431163311709696"
116,"5.397136331235652"
143,"5.691381746451486"
201.04,"4.091803171836315"
98.85,"5.087940744776644"
117,"5.35525359537708"
117,"5.35525359537708"
117,"5.35525359537708"
155,"5.33070732381769"
155,"5.33070732381769"
155,"5.33070732381769"
78.8,"5.15546094080525"
78.8,"3.6590729874431336"
118.7,"3.8651735448120057"
147.1,"4.306641282564334"
239.8,"4.454483994442147"
107.54,"5.07670145267907"
61.76,"5.519365722220251"
75.31,"5.52322847238293"
151.11,"4.223907358866596"
205.62,"1.0264384592928637"
168.2,"5.50399093294664"
135.48,"4.887499119778651"
25.93,"6.051110422730285"
96.71,"4.514000251781598"
203.37,"4.035437844893428"
247,"3.254797646387012"
350,"2.8914909474885144"
162,"5.136770208696005"
95.2,"3.705378974542384"
134.4,"4.016518199742423"
78.8,"5.537994285140893"
78.8,"5.537994285140893"
78.8,"5.537994285140893"
214.72,"4.504860044520296"
214.72,"4.504860044520296"
125.66,"5.664686296385817"
214.72,"4.504860044520296"
214.72,"4.504860044520296"
214.72,"4.504860044520296"
173,"3.5643430809874426"
206,"4.015959057823576"
221,"4.792068114441976"
106.5,"4.213086541630442"
212,"5.134275172185824"
251.06,"1.528150333884728"
77,"5.01324516028287"
77,"5.01324516028287"
171,"4.895713321369865"
80.2,"5.293361671010193"
220,"2.5395839059836804"
220,"2.5395839059836804"
220,"2.5395839059836804"
242,"3.3461708500067613"
242,"3.3461708500067613"
242,"3.3461708500067613"
192,"4.381751426142053"
173.3,"4.507602579376243"
57,"6.620087540427892"
70.4,"7.048050502129969"
111.93,"3.5897619125363893"
151.23,"3.5912491629830012"
22,"5.082021380470149"
284.19,"2.0260131934329992"
72,"5.32726460078863"
95,"4.900116709532181"
138,"4.62589592565582"
119.45,"4.755789053658901"
57.75,"4.557136890445541"
153,"4.799031899995404"
33,"5.299572454875552"
31.27,"6.527728250552346"
227.42,"4.112224590866406"
191.4,"4.052634931284711"
28,"6.04521473860549"
28,"6.04521473860549"
228.29,"4.112224590866406"
56.97,"5.484217148959526"
25.21,"6.330835824725629"
25.21,"6.330835824725629"
25.21,"6.330835824725629"
25.21,"6.330835824725629"
59.24,"4.9399410860390915"
59.24,"4.9399410860390915"
59.24,"4.9399410860390915"
59.24,"4.9399410860390915"
38.82,"5.9088766847059"
38.82,"5.9088766847059"
38.82,"5.9088766847059"
38.82,"5.9088766847059"
63.94,"5.293361671010193"
14.61,"5.138385828243317"
14.61,"5.138385828243317"
79,"3.693572453361716"
95,"4.095235713771112"
113,"4.1283827912446815"
156,"4.080571070608947"
180,"4.67140065385891"
241,"4.560476220481952"
135,"4.534774123722858"
66.16,"5.082627418214837"
63.45,"4.045930290084405"
81.49,"5.034877339973175"
107.27,"5.125894264062151"
106.5,"4.213086541630442"
93.82,"3.714083950332262"
120,"5.256335563565565"
164,"3.8589382120112505"
220,"2.5492550902622355"
106.97,"6.987943746291522"
91.7,"5.359361253034525"
149.34,"4.742221229851546"
305.2,"3.3875961767535685"
78.3,"4.956167795092916"
102.9,"4.991584760760885"
125,"5.062773705241075"
125,"5.062773705241075"
140.1,"5.182435338522252"
169.86,"4.5111751402328695"
104.9,"4.248770058146791"
115.41,"4.213086541630442"
93.82,"3.714083950332262"
198,"1.61757464946179"
43,"6.12503142348359"
28,"6.04521473860549"
122.59,"5.155671251474673"
178,"4.119545498871114"
157.82,"4.662455826012662"
128.8,"4.325413975647905"
33.52,"5.226778437929547"
