"Avg_mode_power","Screen_Size_Extracted"
195.5,"65"
195.5,"65"
57.06,"50"
54.48,"40"
31.626,"320"
69.65,"55"
95.92,"65"
46.5216,"400"
57.474,"437"
29.22,"323"
187.1,"75"
150.64,"65"
57.65,"43"
97.36,"55"
53.26,"43"
83.3,"50"
110.72,"50"
111.7,"55"
157,"75"
157,"75"
157,"75"
15.1,"24"
25.23,"24"
101.23,"50"
73.991,"55"
51.2,"40"
51.2,"40"
51.2,"40"
17.14,"24"
17.14,"24"
17.14,"24"
17.14,"24"
17.14,"24"
17.14,"24"
17.14,"24"
17.14,"24"
17.14,"24"
17.14,"24"
297.5,"98"
297.5,"98"
297.5,"98"
297.5,"98"
297.5,"98"
297.5,"98"
262,"65"
262,"65"
262,"65"
269,"75"
269,"75"
269,"75"
211,"85"
211,"85"
211,"85"
67,"43"
67,"43"
72,"50"
92,"55"
94,"55"
94,"55"
109,"65"
109,"65"
126,"75"
126,"75"
70,"42"
70,"42"
79,"48"
79,"48"
100,"55"
100,"55"
115,"55"
115,"55"
109,"65"
109,"65"
147,"65"
147,"65"
195,"77"
195,"77"
91.8,"500"
114,"55"
114,"55"
114,"55"
138,"65"
138,"65"
138,"65"
104.46,"50"
127.86,"55"
27,"32"
27,"32"
27,"32"
27,"32"
27,"32"
27,"32"
27,"32"
27,"32"
27,"32"
27,"32"
64.06,"40"
117.3,"55"
117.3,"55"
34.4,"320"
34.4,"320"
23.8,"32"
27.3,"240"
27.3,"240"
63,"43"
63,"43"
63,"43"
212,"518"
117.61,"75"
148,"55"
171.9,"65"
68,"50"
87,"55"
39.8,"42"
39.8,"42"
39.8,"42"
39.8,"42"
39.8,"42"
39.8,"42"
39.8,"42"
16.2,"24"
16.2,"24"
16.2,"24"
16.2,"24"
16.2,"24"
16.2,"24"
256,"98"
256,"98"
256,"98"
112,"55"
112,"55"
112,"55"
134,"65"
134,"65"
134,"65"
20.64,"22"
27,"32"
17.14,"24"
134,"65"
134,"65"
134,"65"
107.8,"77"
241.58,"100"
241.58,"100"
241.58,"100"
63.2,"43"
28.86,"32"
39.24,"43"
112,"75"
112,"75"
112,"75"
112,"75"
112,"75"
74,"55"
74,"55"
74,"55"
74,"55"
74,"55"
66,"50"
66,"50"
66,"50"
142,"85"
142,"85"
142,"85"
142,"85"
142,"85"
86,"65"
86,"65"
86,"65"
86,"65"
86,"65"
64,"43"
64,"43"
64,"43"
81,"50"
81,"50"
81,"50"
200.3,"75"
227.9,"85"
294,"85"
294,"85"
294,"85"
195,"85"
195,"85"
195,"85"
108,"55"
108,"55"
108,"55"
200,"85"
200,"85"
200,"85"
216,"77"
216,"77"
216,"77"
47.3,"50"
47.3,"50"
47.3,"50"
47.3,"50"
39.24,"43"
39.24,"43"
39.24,"43"
70,"43"
73,"43"
73,"43"
83,"50"
83,"50"
83,"50"
97,"55"
97,"55"
97,"55"
120,"65"
120,"65"
120,"65"
165,"75"
165,"75"
212,"86"
212,"86"
212,"86"
80,"50"
118,"65"
125,"65"
134,"75"
150,"75"
206,"86"
78,"48"
92,"55"
92,"55"
122,"65"
143,"77"
154,"77"
217,"83"
117.61,"752"
34.8,"32"
34.8,"32"
80,"50"
118,"65"
125,"65"
156,"86"
156,"86"
206,"86"
122,"65"
408.9,"85"
143,"77"
154,"77"
217,"83"
134,"75"
150,"75"
198,"75"
198,"75"
198,"75"
258,"85"
258,"85"
258,"85"
147,"65"
147,"65"
147,"65"
82,"50"
82,"50"
82,"50"
146,"65"
146,"65"
146,"65"
153,"65"
153,"65"
153,"65"
110,"55"
110,"55"
110,"55"
108,"55"
108,"55"
108,"55"
142,"65"
142,"65"
142,"65"
157,"75"
157,"75"
157,"75"
78,"55"
92,"43"
92,"43"
92,"43"
286,"75"
286,"75"
286,"75"
112,"55"
112,"55"
112,"55"
109,"55"
109,"55"
109,"55"
93,"50"
93,"50"
93,"50"
119,"55"
119,"55"
119,"55"
154,"65"
154,"65"
154,"65"
190,"75"
190,"75"
190,"75"
260,"65"
260,"65"
260,"65"
220,"85"
220,"85"
220,"85"
70,"43"
90,"50"
112,"55"
144,"65"
181,"75"
250,"86"
154,"86"
154,"86"
193,"83"
193,"83"
192,"85"
192,"85"
192,"85"
144,"75"
144,"75"
144,"75"
119,"55"
140,"65"
178,"75"
178,"75"
178,"75"
215,"85"
215,"85"
215,"85"
19.8,"886"
94,"65"
24.2,"240"
83.3,"50"
124,"75"
124,"75"
124,"75"
172,"85"
114,"65"
137,"75"
156.29,"75"
156.29,"75"
110.54,"65"
110.54,"65"
91.26,"55"
91.26,"55"
110.54,"65"
156.29,"75"
57.06,"50"
143,"85"
292.93,"85"
109,"55"
109,"55"
109,"55"
179.2,"75"
130,"65"
130,"65"
130,"65"
229.8,"85"
338,"85"
338,"85"
338,"85"
114,"65"
114,"65"
114,"65"
137,"75"
137,"75"
137,"75"
137,"75"
143,"85"
143,"85"
143,"85"
143,"85"
53.12,"42"
272.5,"85"
238.4,"75"
163,"75"
163,"75"
163,"75"
163,"75"
25.3,"24"
25.3,"24"
25.3,"24"
25.3,"24"
25.3,"24"
25.3,"236"
73,"50"
22.1,"24"
22.1,"24"
22.1,"24"
22.1,"24"
22.1,"24"
22.1,"236"
103.3,"550"
248.9,"85"
143.934,"650"
35.2,"32"
35.2,"32"
35.2,"32"
35.2,"32"
35.2,"32"
35.2,"32"
35.8,"320"
80,"48"
204.81,"750"
161.454,"700"
100,"55"
100,"55"
219,"97"
114,"65"
122,"65"
122,"65"
122,"65"
122,"65"
71,"43"
71,"43"
71,"43"
71,"43"
79,"55"
79,"55"
79,"55"
79,"55"
79,"55"
71,"50"
71,"50"
71,"50"
71,"50"
71,"50"
97,"55"
97,"55"
97,"55"
97,"55"
250.7,"85"
250.7,"85"
250.7,"85"
250.7,"85"
250.7,"85"
250.7,"85"
172.1,"75"
172.1,"75"
172.1,"75"
172.1,"75"
172.1,"75"
172.1,"75"
83,"50"
83,"50"
83,"50"
83,"50"
86.5,"58"
52.9,"43"
46.8,"400"
90.1,"650"
142.43,"70"
142.43,"70"
142.43,"70"
142.43,"70"
142.43,"70"
142.43,"70"
332,"98"
332,"98"
332,"98"
96.56,"500"
87.66,"43"
87.66,"43"
87.66,"43"
58.2,"43"
38.946,"40"
58.4,"50"
86.9,"55"
106.6,"65"
122,"75"
176.1,"65"
208.1,"75"
212.4,"85"
191.2,"98"
41.8,"43"
49.2,"50"
58.4,"55"
77.6,"65"
111.2,"75"
245.5,"98"
245.5,"98"
245.5,"98"
245.5,"98"
175,"77"
217,"83"
100,"55"
117.9,"65"
172,"65"
220,"77"
242,"83"
219,"97"
244,"97"
244,"97"
94.96,"550"
91.4,"50"
89.1,"55"
105.7,"65"
134.6,"75"
148.2,"85"
197.4,"98"
152.2,"77"
226,"98"
67,"43"
67,"43"
68,"50"
91,"55"
114,"65"
126,"75"
25.3,"240"
94.65,"650"
81.288,"60"
20.24,"240"
111.7,"55"
111.7,"55"
111.7,"55"
111.7,"55"
111.7,"55"
150.64,"65"
150.64,"65"
150.64,"65"
150.64,"65"
150.64,"65"
187.1,"75"
187.1,"75"
187.1,"75"
187.1,"75"
187.1,"75"
101.23,"50"
101.23,"50"
101.23,"50"
101.23,"50"
101.23,"50"
115.94,"650"
47.5,"50"
49.14,"43"
90.1,"65"
68,"43"
71,"50"
79,"55"
114,"65"
137,"75"
94.37,"50"
128.9,"70"
143,"85"
16.2,"24"
79,"43"
79,"43"
79,"43"
89,"55"
89,"55"
89,"55"
126,"65"
126,"65"
126,"65"
26.3,"32"
15.3,"27"
25.5,"32"
66.8,"50"
66.8,"50"
66.8,"50"
66.8,"50"
66.8,"50"
94.2,"65"
94.2,"65"
94.2,"65"
94.2,"65"
94.2,"65"
109.4,"75"
109.4,"75"
109.4,"75"
109.4,"75"
109.4,"75"
70.8,"55"
70.8,"55"
70.8,"55"
70.8,"55"
70.8,"55"
22.9,"32"
22.9,"32"
22.9,"32"
22.9,"32"
22.9,"32"
93,"50"
36.5,"40"
36.5,"40"
36.5,"40"
36.5,"40"
36.5,"40"
52.9,"43"
52.9,"43"
52.9,"43"
52.9,"43"
52.9,"43"
66.8,"50"
94.2,"65"
109.4,"75"
70.8,"55"
52.9,"43"
36.5,"40"
22.9,"32"
111.438,"65"
82.242,"55"
136.1,"65"
136.1,"65"
136.1,"65"
136.1,"65"
136.1,"65"
136.1,"65"
36.9,"32"
59.91,"43"
61.1,"50"
63.7,"55"
89.74,"65"
95.06,"75"
150.59,"85"
135.9,"70"
15.1,"16"
48.76,"40"
68,"43"
68,"43"
68,"43"
68,"43"
103,"65"
103,"65"
103,"65"
295.9,"100"
104.2,"65"
64.71,"065"
24.48,"40"
123.6,"70"
600,"115"
23.3,"32"
48.96,"420"
48.96,"420"
158,"750"
19.8,"240"
204.59,"85"
204.59,"85"
204.59,"85"
108.132,"650"
28.7,"24"
91,"500"
120,"650"
27.2,"32"
27.2,"32"
27.2,"32"
57.2,"500"
50.67,"430"
41,"400"
206,"55"
206,"55"
206,"55"
32.5,"320"
145.4,"75"
145.4,"75"
145.4,"75"
145.4,"75"
145.4,"75"
145.4,"75"
33.5,"32"
73,"42"
84,"48"
103,"55"
140,"65"
122,"55"
146,"65"
170,"77"
24,"32"
103,"55"
80.3,"48"
80.3,"48"
80.3,"48"
80.3,"48"
80.3,"48"
80.3,"48"
350,"100"
79.98,"55"
79.98,"55"
99.95,"65"
99.95,"65"
133.76,"75"
133.76,"75"
189.93,"85"
189.93,"85"
79.98,"55"
99.95,"65"
133.76,"75"
189.93,"85"
55.02,"43"
55.02,"43"
55.49,"50"
55.49,"50"
59.97,"55"
59.97,"55"
90.42,"65"
90.42,"65"
120.56,"75"
120.56,"75"
172.13,"85"
172.13,"85"
260,"65"
260,"65"
260,"65"
322,"75"
322,"75"
322,"75"
19.4,"19"
28.6,"320"
88.3,"55"
88.3,"55"
88.3,"55"
88.3,"55"
88.3,"55"
88.3,"55"
14.7,"16"
160.8,"85"
15.8718,"19"
55.02,"43"
55.49,"50"
90.42,"65"
172.13,"85"
106.46,"55"
157.4,"65"
169.46,"75"
236.68,"85"
264.81,"100"
109.038,"70"
59.97,"55"
257.2,"850"
73.6,"55"
73.6,"55"
73.6,"55"
73.6,"55"
85.767,"50"
197.27,"85"
115,"55"
115,"55"
115,"55"
115,"55"
115,"55"
115,"55"
35.2,"32"
35.2,"32"
35.2,"32"
35.2,"32"
99.42,"50"
99.42,"50"
99.42,"50"
99.42,"50"
99.42,"50"
99.42,"50"
147.44,"65"
147.44,"65"
147.44,"65"
147.44,"65"
147.44,"65"
147.44,"65"
180,"75"
180,"75"
180,"75"
180,"75"
180,"75"
180,"75"
54.39,"42"
54.39,"42"
54.39,"42"
54.39,"42"
112.7,"65"
112.7,"65"
112.7,"65"
112.7,"65"
112.7,"65"
112.7,"65"
35.2,"32"
54.39,"42"
60.9,"55"
299.4,"98"
220,"77"
165,"75"
133.54,"75"
114.354,"65"
82.11,"55"
60.564,"50"
36.91,"40"
29.55,"32"
92.8,"55"
92.8,"55"
92.8,"55"
92.8,"55"
92.8,"55"
92.8,"55"
180,"75"
48.76,"400"
22.8,"32"
29.07,"40"
22.8,"32"
29.07,"40"
29.07,"40"
252.1,"100"
177.17,"75"
262.49,"85"
137.97,"65"
33.5,"32"
81.288,"60"
24.687,"320"
72.6,"55"
93.25,"65"
71,"43"
71,"43"
71,"43"
83,"50"
83,"50"
83,"50"
109.77,"75"
97,"55"
97,"55"
97,"55"
122,"65"
122,"65"
122,"65"
163,"75"
195,"85"
140.89,"700"
280.55,"85"
280.55,"85"
280.55,"85"
280.55,"85"
280.55,"85"
73,"43"
70,"43"
83,"50"
83,"50"
97,"55"
97,"55"
120,"65"
120,"65"
165,"75"
165,"75"
212,"86"
212,"86"
163.1,"750"
162.1,"75"
142.1,"700"
47.23,"40"
31.92,"32"
64.6,"500"
110.12,"550"
110.12,"550"
379.07,"100"
379.07,"100"
379.07,"100"
379.07,"100"
379.07,"100"
379.07,"100"
379.07,"100"
144.5,"65"
144.5,"65"
144.5,"65"
144.5,"65"
144.5,"65"
138.82,"70"
138.82,"70"
138.82,"70"
138.82,"70"
138.82,"70"
88.8,"550"
88.8,"550"
120,"65"
191,"85"
103.99,"70"
103.99,"70"
103.99,"70"
24.17,"32"
33.62,"43"
151.8,"65"
151.8,"65"
151.8,"65"
19.4,"193"
19.4,"193"
19.4,"19"
36,"43"
40,"50"
49,"55"
56,"65"
143.6,"85"
115.4,"75"
103.5,"65"
90.7,"55"
40,"400"
354.9,"98"
354.9,"98"
354.9,"98"
354.9,"98"
354.9,"98"
354.9,"98"
76.8,"552"
38.6,"320"
159.6,"75"
159.6,"75"
159.6,"75"
94.37,"50"
128.9,"70"
19.64,"924"
19.64,"924"
24.6,"927"
24.6,"927"
19.64,"924"
24.6,"927"
27.14,"32"
159.6,"75"
226.38,"85"
226.38,"85"
226.38,"85"
226.38,"85"
37.86,"32"
37.86,"32"
37.86,"32"
37.86,"32"
35.6,"32"
27.036,"32"
51.78,"420"
298.5,"86"
298.5,"86"
298.5,"86"
298.5,"86"
298.5,"86"
44.2,"43"
102,"55"
147.21,"650"
147.21,"650"
44.2,"43"
44.2,"43"
69.65,"55"
69.65,"55"
69.65,"55"
28.3,"24"
37.1,"32"
38.6,"40"
182.3,"70"
92.2,"55"
23.98,"24"
23.98,"24"
23.98,"24"
23.98,"24"
23.98,"24"
31.84,"32"
31.84,"32"
31.84,"32"
31.84,"32"
31.84,"32"
93.1,"55"
112.086,"58"
38.2,"42"
114.6,"85"
24.9,"32"
122,"65"
16.9,"24"
105,"55"
94.14,"65"
94.14,"65"
94.14,"65"
94.14,"65"
94.14,"65"
94.14,"65"
96,"50"
154.03,"75"
154.03,"75"
120,"55"
88.8,"50"
117.3,"65"
168,"65"
332,"98"
108.294,"70"
105.43,"651"
149.6,"65"
15.3,"19"
16.33,"24"
16.33,"24"
16.33,"24"
16.33,"24"
16.33,"24"
153.11,"700"
27.036,"32"
27.14,"322"
44.2,"432"
68.12,"553"
92.076,"65"
108.294,"702"
31,"32"
33.5,"320"
35.3,"32"
43,"43"
91,"50"
91,"50"
91,"50"
116,"65"
116,"65"
116,"65"
102,"55"
102,"55"
102,"55"
56.9,"50"
131.1,"77"
131.1,"77"
131.1,"77"
131.1,"77"
446.3,"100"
446.3,"100"
446.3,"100"
446.3,"100"
69.4,"55"
92.9,"65"
212,"86"
212,"86"
101,"55"
101,"55"
96,"55"
96,"55"
124,"65"
124,"65"
163,"77"
163,"77"
189,"83"
189,"83"
17.766,"24"
65.9,"552"
97.7,"652"
154.23,"75"
20.96,"24"
91.6,"55"
102.9,"65"
76.8,"50"
68,"50"
68,"50"
76,"48"
76,"48"
88,"55"
88,"55"
106,"65"
106,"65"
51.3,"40"
41.6,"40"
55,"42"
35.8,"32"
65,"42"
65,"42"
153,"77"
153,"77"
82,"55"
82,"55"
105,"65"
105,"65"
73.4,"50"
188.5,"77"
118,"65"
118,"65"
98,"65"
98,"65"
165,"75"
165,"75"
106,"75"
106,"75"
106,"75"
132,"86"
82.5,"580"
141.1,"70"
132,"86"
74,"48"
70,"43"
70,"43"
64,"43"
64,"43"
83,"50"
83,"50"
92,"55"
92,"55"
82,"55"
82,"55"
91.5,"50"
99.2,"55"
49,"43"
17.766,"24"
79.3,"55"
111.6,"65"
140.4,"75"
35.3,"32"
115,"65"
115,"65"
135,"77"
135,"77"
92,"55"
98,"65"
132,"86"
68,"50"
138,"86"
138,"86"
162,"75"
115,"65"
231,"86"
24.84,"32"
38.4,"43"
61.38,"557"
61.38,"55"
61.38,"55"
61.38,"55"
105.96,"657"
105.96,"65"
105.96,"65"
105.96,"65"
105.96,"657"
61.38,"557"
106.68,"757"
106.68,"757"
106.68,"757"
147.1,"700"
81,"50"
106,"75"
189,"83"
189,"83"
106,"55"
87.6,"50"
190,"75"
175.2,"85"
86.5,"55"
115,"65"
140,"75"
175.2,"85"
50.5,"400"
34.296,"320"
111.8,"55"
150.7,"65"
204.81,"750"
204.81,"750"
140,"65"
140,"65"
153,"75"
153,"75"
187,"86"
187,"86"
49.6,"50"
49.6,"50"
94.96,"550"
94.96,"550"
87.96,"550"
96.612,"500"
96.612,"500"
248,"65"
248,"65"
248,"65"
148.6,"98"
70,"43"
70,"43"
70,"43"
111,"55"
111,"55"
111,"55"
79,"48"
109,"55"
109,"55"
109,"55"
47.9,"500"
216,"83"
138,"77"
45.69,"430"
92.9,"650"
94.65,"650"
134.33,"650"
40.4,"40"
47.9,"49"
31.2,"32"
43.6,"40"
70,"43"
83,"50"
92,"55"
140,"65"
140,"65"
69.8,"55"
60.2,"50"
154,"65"
154,"65"
154,"65"
104,"55"
25.23,"32"
203.5,"75"
109,"55"
109,"55"
109,"55"
87.99,"55"
105.58,"65"
129,"65"
145,"65"
174,"77"
110,"55"
110,"55"
110,"55"
58.81,"50"
71.5,"55"
92,"65"
45.012,"430"
70,"55"
175.9,"65"
287.2,"86"
195.4,"75"
182,"77"
70,"43"
178,"77"
216.9,"85"
178,"77"
214,"83"
214,"83"
67,"42"
62,"43"
62,"43"
62,"43"
107,"55"
107,"55"
107,"55"
141,"65"
141,"65"
141,"65"
137,"65"
137,"65"
137,"65"
152,"65"
152,"65"
152,"65"
134.4,"65"
156,"75"
156,"75"
156,"75"
271,"75"
271,"75"
271,"75"
151,"75"
151,"75"
151,"75"
216,"77"
216,"77"
216,"77"
186,"83"
199,"85"
199,"85"
199,"85"
286,"85"
286,"85"
286,"85"
211,"85"
211,"85"
211,"85"
242,"98"
242,"98"
242,"98"
75,"65"
50.5,"43"
228,"97"
228,"97"
253,"97"
253,"97"
69,"43"
69,"43"
69,"43"
69,"43"
154,"75"
154,"75"
154,"75"
154,"65"
154,"65"
154,"65"
248,"83"
196,"85"
196,"85"
196,"85"
196,"85"
181,"75"
181,"75"
181,"75"
181,"75"
122,"65"
122,"65"
122,"65"
122,"65"
79,"55"
79,"55"
79,"55"
79,"55"
75,"50"
75,"50"
75,"50"
75,"50"
68,"43"
68,"43"
68,"43"
68,"43"
356.4,"98"
107,"55"
107,"55"
107,"55"
100,"50"
100,"50"
100,"50"
204,"75"
204,"75"
204,"75"
248,"85"
248,"85"
248,"85"
260,"100"
260,"100"
111,"55"
111,"55"
111,"55"
16.33,"24"
140,"65"
140,"65"
140,"65"
166,"75"
166,"75"
166,"75"
211,"85"
211,"85"
211,"85"
92,"50"
92,"50"
92,"50"
153,"65"
189,"75"
189,"75"
189,"75"
220,"85"
220,"85"
220,"85"
77,"50"
77,"50"
77,"50"
15.38,"24"
15.87,"32"
84,"55"
84,"55"
84,"55"
84,"55"
84,"55"
84,"55"
84,"55"
117,"65"
117,"65"
117,"65"
117,"65"
117,"65"
117,"65"
259,"65"
259,"65"
259,"65"
330,"85"
330,"85"
330,"85"
143,"75"
143,"75"
143,"75"
143,"75"
143,"75"
143,"75"
187,"85"
187,"85"
187,"85"
187,"85"
187,"85"
187,"85"
187,"85"
282,"100"
282,"100"
282,"100"
65.43,"550"
91,"55"
81,"50"
155,"86"
66,"43"
137,"75"
115,"65"
68,"50"
106,"75"
104.8,"550"
104.8,"550"
104.8,"550"
104.8,"550"
104.8,"550"
104.8,"550"
104.8,"550"
104.8,"550"
104.8,"550"
110.08,"650"
110.08,"650"
110.08,"650"
110.08,"650"
110.08,"650"
110.08,"650"
110.08,"650"
110.08,"650"
110.08,"650"
110.08,"651"
175.6,"750"
175.6,"750"
175.6,"750"
175.6,"750"
175.6,"750"
175.6,"750"
175.6,"750"
175.6,"750"
175.6,"750"
175.6,"751"
199.69,"850"
199.69,"850"
199.69,"850"
199.69,"850"
199.69,"850"
199.69,"850"
199.69,"850"
199.69,"850"
199.69,"850"
199.69,"851"
320,"100"
320,"100"
320,"100"
320,"100"
320,"100"
320,"100"
320,"100"
320,"100"
320,"100"
320,"101"
39.8,"43"
285,"75"
285,"75"
285,"75"
112,"55"
112,"55"
112,"55"
131,"65"
131,"65"
131,"65"
178,"75"
178,"75"
178,"75"
220,"85"
220,"85"
220,"85"
117,"65"
143,"75"
104.8,"551"
104.8,"55"
110.08,"65"
175.6,"75"
199.69,"85"
320,"10"
186.5,"85"
107.4,"65"
128.9,"75"
165.6,"98"
151,"83"
151,"83"
104.7,"75"
50.5,"400"
50.5,"400"
69.5,"50"
65.43,"55"
118,"65"
20.83,"24"
20.83,"24"
20.83,"24"
20.83,"24"
159.1,"65"
159.1,"65"
159.1,"65"
159.1,"65"
159.1,"65"
159.1,"65"
159.1,"65"
190.2,"75"
190.2,"75"
190.2,"75"
190.2,"75"
190.2,"75"
190.2,"75"
190.2,"75"
28.17,"40"
28.17,"40"
22.07,"32"
22.07,"32"
22.07,"32"
51.09,"43"
51.09,"43"
59.02,"50"
59.02,"50"
62,"55"
62,"55"
98.86,"65"
98.86,"65"
117.04,"75"
117.04,"75"
117.04,"75"
177.89,"85"
177.89,"85"
115.94,"65"
115.94,"65"
145.91,"75"
145.91,"75"
186.38,"85"
186.38,"85"
222.34,"100"
222.34,"100"
225.8,"85"
225.8,"85"
225.8,"85"
225.8,"85"
225.8,"85"
225.8,"85"
225.8,"85"
20.83,"24"
28.17,"40"
47.04,"405"
47.04,"405"
47.04,"43"
47.04,"405"
112.38,"557"
112.38,"557"
112.38,"55"
112.38,"55"
112.38,"557"
156.42,"657"
156.42,"657"
156.42,"65"
156.42,"657"
107.58,"657"
107.58,"657"
107.58,"65"
107.58,"657"
32.4,"320"
86.09,"60"
33.1,"400"
136.1,"55"
68,"43"
68,"43"
68,"43"
68,"43"
68,"43"
79,"50"
79,"50"
79,"50"
79,"50"
79,"50"
164,"98"
92,"55"
92,"55"
118,"65"
118,"65"
75.21,"55"
105.39,"65"
121.59,"75"
171.81,"85"
113,"55"
113,"55"
113,"55"
122.5,"65"
136,"65"
97,"55"
271,"65"
340,"75"
130.5,"75"
136,"75"
136,"75"
136,"75"
136,"75"
136,"75"
136,"75"
113,"65"
113,"65"
113,"65"
113,"65"
113,"65"
113,"65"
79,"55"
79,"55"
79,"55"
79,"55"
79,"55"
79,"55"
68,"43"
68,"43"
68,"43"
68,"43"
68,"43"
68,"43"
71,"50"
71,"50"
71,"50"
71,"50"
71,"50"
71,"50"
142,"85"
142,"85"
142,"85"
142,"85"
142,"85"
142,"85"
42.7,"43"
50,"50"
64.3,"55"
77.1,"65"
97.2,"75"
92.78,"55"
92.78,"55"
92.78,"55"
115.94,"65"
67.9,"55"
186.38,"85"
222.34,"100"
145.91,"75"
358,"98"
358,"98"
358,"98"
60.48,"50"
60.48,"50"
60.48,"50"
60.48,"50"
51.09,"43"
59.02,"50"
62,"55"
98.86,"65"
177.89,"85"
239.2,"85"
280,"115"
36.26,"402"
25.4,"32"
30.3,"40"
64.3,"55"
30,"32"
104.99,"65"
104.99,"65"
122.25,"75"
122.25,"75"
175.06,"85"
175.06,"85"
238.44,"100"
238.44,"100"
104.99,"65"
122.25,"75"
175.06,"85"
238.44,"100"
216.3,"85"
216.3,"85"
216.3,"85"
216.3,"85"
47.9,"500"
35.97,"320"
35.97,"320"
21.55,"240"
129.15,"65"
129.15,"65"
169.46,"75"
191.41,"85"
129.15,"65"
169.46,"75"
169.46,"75"
191.41,"85"
191.41,"85"
165,"75"
165,"75"
136.1,"75"
97.1,"650"
23.82,"240"
128.56,"65"
137.3,"75"
167.13,"85"
23.89,"24"
130.8,"75"
130.8,"75"
130.8,"75"
130.8,"75"
135.9,"75"
135.9,"75"
135.9,"75"
135.9,"75"
32.9,"40"
109.1,"65"
109.1,"65"
109.1,"65"
109.1,"65"
109.1,"65"
57.9,"55"
57.9,"552"
57.9,"55"
135.9,"75"
32.3,"40"
30,"32"
93.2,"55"
93.2,"55"
93.2,"55"
93.2,"55"
93.2,"55"
15.38,"24"
15.87,"32"
35.2,"40"
24.2,"32"
136.6,"65"
94.1,"65"
36.5,"40"
78.3,"55"
100.68,"65"
102.6,"75"
125.64,"85"
108.294,"70"
35.2,"400"
63.29,"55"
81.08,"65"
87.19,"75"
155.84,"85"
108.4,"55"
108.4,"55"
108.4,"55"
108.4,"55"
108.4,"55"
27.1,"32"
27.1,"32"
27.1,"32"
27.1,"32"
27.1,"32"
27.1,
313.1,"98"
96.66,"55"
96.66,"55"
96.66,"55"
96.66,"55"
105.84,"65"
105.84,"65"
105.84,"65"
105.84,"65"
25.4,"32"
30.3,"40"
21.68,"32"
35.67,"43"
68,"43"
71,"50"
79,"55"
54.9,"43"
64.6,"55"
181.9,"85"
56.59,"50"
79.95,"55"
71.19,"50"
71.19,"50"
100.24,"55"
100.24,"55"
110.31,"65"
110.31,"65"
133.21,"75"
133.21,"75"
154.51,"85"
154.51,"85"
248.33,"100"
248.33,"100"
123.02,"75"
123.02,"75"
71.19,"50"
123.02,"75"
113,"65"
136,"75"
142,"85"
100.24,"55"
110.31,"65"
133.21,"75"
154.51,"85"
248.33,"100"
83.4,"55"
95.8,"65"
101.9,"77"
136.8,"77"
147.3,"75"
121.6,"65"
66,"43"
73,"50"
81,"55"
103,"65"
140,"75"
164,"85"
53.7,"43"
79.95,"55"
79.95,"55"
104.68002,"65"
104.68002,"65"
134.5602,"75"
134.5602,"75"
104.68002,"65"
134.5602,"75"
66.2,"50"
74.4,"55"
136.6,"75"
46,"43"
53,"50"
54,"55"
67,"65"
163.7,"85"
111.6,"65"
36.9,"40"
63.12,"43"
63.12,"43"
63.12,"43"
157.32,"65"
157.32,"65"
157.32,"65"
157.32,"65"
71.1,"55"
36.6,"43"
118.6,"65"
63.12,"43"
22.3,"24"
428,"115"
428,"115"
428,"115"
22,"24"
49.21,"42"
35.2,"32"
50.04,"43"
36,"32"
36,"32"
36,"32"
36,"32"
36,"32"
62,"48"
62,"48"
32.4,"32"
201,"65"
143.5,"55"
54.86,"50"
22.3,"24"
22.3,"24"
22.3,"24"
22,"24"
22,"24"
22,"24"
22,"24"
35.2,"32"
35.2,"32"
35.2,"32"
35.2,"32"
23.55,"24"
32.4,"32"
110.95,"55"
110.95,"55"
110.95,"55"
110.95,"55"
110.95,"55"
162.79,"65"
162.79,"65"
162.79,"65"
162.79,"65"
162.79,"65"
54.9,"502"
54.9,"502"
63.9,"552"
122.8,"752"
107.6,"652"
96.9,"652"
55.3,"50"
50,"43"
50.56,"43"
259.29,"100"
259.29,"100"
268.08,"100"
268.08,"100"
259.29,"100"
268.08,"100"
303.84,"116"
303.84,"116"
303.84,"116"
126,"65"
122.94,"75"
68.2,"60"
72.7,"50"
72.7,"50"
72.7,"50"
80,"55"
58,"43"
66,"50"
40.4,"40"
40.4,"40"
40.4,"40"
40.4,"40"
40.4,"40"
40.4,"40"
68,"55"
95,"65"
118,"75"
70,"55"
55.9,"43"
55.9,"43"
55.9,"43"
73.9,"55"
73.9,"55"
73.9,"55"
111.9,"65"
111.9,"65"
111.9,"65"
160.3,"75"
160.3,"75"
160.3,"75"
23.55,"24"
102.2,"50"
102.2,"50"
102.2,"50"
102.2,"50"
102.2,"50"
102.2,"50"
45.012,"430"
108.29,"70"
108.29,"70"
108.29,"70"
108.29,"70"
129.3,"55"
129.3,"55"
129.3,"55"
129.3,"55"
129.3,"55"
129.3,"55"
180.8,"65"
180.8,"65"
180.8,"65"
180.8,"65"
180.8,"65"
180.8,"65"
171,"75"
171,"75"
171,"75"
171,"75"
171,"75"
171,"75"
27.7,"32"
27.7,"32"
27.7,"32"
27.7,"32"
27.7,"32"
27.7,"32"
106,"65"
65,"43"
68,"50"
95,"55"
15.3,"185"
69.3,"60"
38.4,"43"
108.29,"70"
108.29,"70"
108.29,"70"
70,"43"
83,"50"
92,"55"
118,"65"
62,"43"
128.89,"75"
54,"50"
55,"55"
69,"65"
133.926,"550"
157.044,"650"
66.3,"43"
66.3,"43"
66.3,"43"
